model,defence,data_type,accuracy,f1_score
rf,none,clean,0.6886922546541026,0.6884284864109794
rf,feature_smoothing,clean_smoothed,0.6555964146173293,0.658044840462327
nn,none,clean,0.23718685359687428,0.2194498013440809
nn,feature_smoothing,clean_smoothed,0.23724431165249368,0.21949211550378492
ensemble,none,clean,0.5789473684210527,0.49850444556704854
ensemble,feature_smoothing,clean_smoothed,0.5195357389105952,0.3978162007764417
rf,none,clean_smoothed,0.6489887382210986,0.6518941035804764
nn,none,clean_smoothed,0.2369570213743967,0.21927516934766247
ensemble,none,clean_smoothed,0.5174097908526776,0.3964172294629541
